food_id,name,cuisine,category,ingredients,prep_time,difficulty,calories,dietary_tags,flavor_profile,popularity_score
1,Xiaolongbao,Chinese,Breakfast,"['flour', 'pork', 'soup', 'ginger']",30,Easy,312,['dairy-free'],"['savory', 'umami']",1.1061438787354545
2,Spinach Artichoke Dip,American,Appetizer,"['spinach', 'artichokes', 'cream cheese', 'parmesan']",47,Easy,297,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'cheesy']",2.4359175219385136
3,Spicy Shrimp Salad,Thai,Appetizer,"['shrimp', 'lime juice', 'chili', 'coriander']",37,Medium,230,"['dairy-free', 'gluten-free', 'halal']","['savory', 'spicy', 'sour']",3.309408581027048
4,Youtiao,Chinese,Breakfast,"['flour', 'oil', 'salt']",49,Easy,348,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'umami']",1.8380281230859508
5,Rice with Nori,Japanese,Breakfast,"['rice', 'nori', 'sesame seeds']",47,Easy,258,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",4.220183203084858
6,Samgyeopsal (Grilled Pork Belly),Korean,Dinner,"['pork belly', 'lettuce', 'ssamjang']",30,Hard,520,"['dairy-free', 'gluten-free']",['savory'],3.9799559283664263
7,Agedashi Tofu,Japanese,Appetizer,"['tofu', 'dashi broth', 'tempura sauce']",20,Medium,250,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.688639867198736
8,Mango Pudding,Chinese,Dessert,"['mango', 'gelatin', 'milk', 'sugar']",44,Hard,340,"['vegetarian', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",1.4462086943835057
9,Bibimbap,Korean,Lunch,"['rice', 'mixed vegetables', 'egg', 'gochujang']",58,Easy,429,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",3.12141468878071
10,Prosciutto e Melone,Italian,Appetizer,"['prosciutto', 'melon']",59,Easy,283,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']",['savory'],4.264093013680354
11,Dal Tadka,Indian,Lunch,"['lentils', 'turmeric', 'cumin', 'garlic', 'tomato']",51,Medium,470,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",1.0841370400282355
12,Spinach Artichoke Dip,American,Appetizer,"['spinach', 'artichokes', 'cream cheese', 'parmesan']",30,Medium,228,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'cheesy']",2.941657996601963
13,Paneer Tikka,Indian,Appetizer,"['paneer', 'yogurt', 'spices', 'bell peppers']",56,Medium,250,"['vegetarian', 'gluten-free', 'halal']","['savory', 'spicy']",1.3936714846078355
14,Kimchi Jjigae (Kimchi Stew),Korean,Dinner,"['kimchi', 'tofu', 'pork', 'scallions']",55,Medium,533,"['dairy-free', 'gluten-free']","['savory', 'spicy', 'fermented']",4.445396419047322
15,Xiaolongbao,Chinese,Breakfast,"['flour', 'pork', 'soup', 'ginger']",47,Hard,327,['dairy-free'],"['savory', 'umami']",2.060812232688608
16,Fish Head Curry,Malaysian,Dinner,"['fish head', 'curry powder', 'coconut milk', 'okra', 'tomato', 'tamarind']",21,Hard,542,"['gluten-free', 'halal']","['savory', 'spicy', 'creamy', 'sour']",2.9071540684357395
17,Paratha,Indian,Breakfast,"['wheat flour', 'ghee', 'potato', 'spices']",35,Easy,268,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'spicy']",1.9848613911544994
18,Antipasto Platter,Italian,Appetizer,"['cured meats', 'cheeses', 'olives', 'artichokes']",54,Medium,275,"['vegetarian', 'gluten-free', 'halal']","['savory', 'cheesy']",2.199988319195049
